,CMPSI_NM,CMPSI_SCTIN_NM,소재지전체주소,상세영업상태명,lat,lon,kakao_score,지역
2998,소노문 양평,일반야영장,경기도 양평군 개군면 공세리 389-7,영업중,37.47,127.53,3.2,경기도
2999,더휴글램핑,일반야영장,경기도 양평군 옥천면 옥천리 514-1,영업중,37.52,127.46,5.0,경기도
3000,산대분교공공캠핑장,일반야영장,경기도 양평군 단월면 석산리 470번지,영업중,37.63,127.58,5.0,경기도
3001,남이섬 제이드 캠핑,일반야영장,강원도 춘천시 남산면 서천리 457,폐업,37.83,127.54,0,강원도
3002,남이섬 제이드 캠핑,일반야영장,강원도 춘천시 남산면 서천리 457,폐업,37.83,127.54,0,강원도
3003,남이섬 제이드 캠핑,일반야영장,강원도 춘천시 남산면 서천리 457,영업중,37.83,127.54,0,강원도
3004,남이섬 제이드 캠핑,일반야영장,강원도 춘천시 남산면 서천리 457,영업중,37.83,127.54,0,강원도
3005,춘천하늘캠핑장,일반야영장,강원도 춘천시 서면 방동리 981,영업중,37.91,127.66,0.0,강원도
3006,강촌버즈글램핑,일반야영장,강원도 춘천시 서면 안보리 403,영업중,37.85,127.58,4.6,강원도
3007,피노키오관광농원 야영장,일반야영장,강원도 원주시 신림면 황둔리 918-6번지,영업중,37.26,128.16,2.7,강원도
3008,피노키오관광농원 야영장,일반야영장,강원도 원주시 신림면 황둔리 906-1,영업중,37.26,128.16,2.7,강원도
3009,베이스캠프,일반야영장,강원도 강릉시 사천면 사천진리 91-1번지,영업중,37.83,128.87,0.0,강원도
3010,속초 밤하늘글램핑,일반야영장,강원도 속초시 장사동 67-6,영업중,38.21,128.55,3.4,강원도
3011,어울림캠핑장,일반야영장,강원도 홍천군 화촌면 구성포리 1179,영업중,37.79,127.91,5.0,강원도
3012,개똥이네캠핑장,일반야영장,강원도 홍천군 북방면 원소리 35번지,영업중,37.72,127.76,5.0,강원도
3013,J캠핑장,일반야영장,강원도 홍천군 내면 창촌리 786번지,영업중,37.79,128.43,3.8,강원도
3014,용오름캠핑장,일반야영장,강원도 홍천군 서석면 검산리 326-1,영업중,37.72,128.24,5.0,강원도
3015,예담숲,일반야영장,강원도 홍천군 서면 동막리 468-1번지,영업중,37.67,127.58,4.8,강원도
3016,몬테리오,일반야영장,강원도 홍천군 서면 마곡리 121-1번지,영업중,37.73,127.58,4.1,강원도
3017,횡성 노다지야영장 불타는 삼촌,일반야영장,강원도 횡성군 청일면 춘당리 216-1번지 해오름살림학교,영업중,37.62,128.16,0.0,강원도
3018,선바위자연캠핑장,일반야영장,강원도 횡성군 갑천면 병지방리 361-15번지,영업중,37.6,128.09,2.3,강원도
3019,나우캠핑장관광농원,일반야영장,강원도 횡성군 공근면 수백리 481-1,영업중,37.55,128.01,5.0,강원도
3020,동당미펜션 야영장,일반야영장,강원도 횡성군 서원면 압곡리 298-8번지,영업중,37.48,127.89,0,강원도
3021,동빈네 캠핑장,일반야영장,강원도 영월군 중동면 직동리 167번지,영업중,37.17,128.78,0.0,강원도
3022,청풍명월,일반야영장,강원도 영월군 무릉도원면 도원리 산 358-3,영업중,37.3,128.21,5.0,강원도
3023,숲속의 작은집,일반야영장,강원도 영월군 무릉도원면 두산리 산 336,영업중,37.3,128.14,3.8,강원도
3024,평창 태기산 캠핑장 펜션,일반야영장,강원도 평창군 봉평면 진조리 338-11,영업중,37.57,128.3,5.0,강원도
3025,가리왕산 자건재,일반야영장,강원도 정선군 정선읍 회동리 320,휴업,37.42,128.58,0,강원도
3026,가리왕산 자건재,일반야영장,강원도 정선군 정선읍 회동리 산 2-1번지,영업중,37.42,128.58,0,강원도
